thumbnail,title,subtitles,rating,link,price_period,price_currency,price_value,marketplace
https://a0.muscache.com/im/pictures/0366b1a6-2930-4531-9285-38850aac9ea7.jpg?im_w=720,Apartment in Schöneberg,"Simple, charming Schöneberger Seitenstrassenwg",4.57,https://www.airbnb.com/rooms/26346833,night,$,33,airbnb
https://a0.muscache.com/im/pictures/prohost-api/Hosting-53104445/original/0a66f78a-acea-4787-b864-0c9e6b3d10cd.jpeg?im_w=720,Private room in Charlottenburg-Wilmersdorf,Single Room,4.44,https://www.airbnb.com/rooms/53104445,night,$,65,airbnb
https://a0.muscache.com/im/pictures/prohost-api/Hosting-53104664/original/64a243be-43d2-44c5-abe0-e82461621e67.jpeg?im_w=720,Hotel room in Charlottenburg-Wilmersdorf,Superior single room,4.32,https://www.airbnb.com/rooms/53104664,night,$,72,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-32149692/original/64b944d2-d555-4eb7-8b55-0987eebda934.jpeg?im_w=720,Apartment in Friedrichshain,Stayery | Modern Studio near Boxhagener Platz,4.75,https://www.airbnb.com/rooms/32149692,night,$,157,airbnb
https://a0.muscache.com/im/pictures/c825c1fb-a4f1-4632-8c43-10349c52317d.jpg?im_w=720,Private room in Kreuzberg,Small and on time your 02/Z/AZ/012938-20,4.91,https://www.airbnb.com/rooms/9774272,night,$,38,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-611235827845447324/original/d825b10b-9ba2-40ed-9195-409211246f35.jpeg?im_w=720,Apartment in Prenzlauer Berg,Great 2-room apartment in Prenzlauer Berg,5.0,https://www.airbnb.com/rooms/611235827845447324,night,$,126,airbnb
https://a0.muscache.com/im/pictures/25999431-95c2-44fc-80c0-dfc8db4962c9.jpg?im_w=720,Private room in Lichtenberg,cozy room with lots of space,4.81,https://www.airbnb.com/rooms/51558001,night,$,81,airbnb
https://a0.muscache.com/im/pictures/04d4d5ee-f5a6-428c-a168-2a8eed736dae.jpg?im_w=720,Private room in Charlottenburg-Wilmersdorf,Beautiful room in buddhist center / Westend,4.81,https://www.airbnb.com/rooms/20647264,night,$,57,airbnb
https://a0.muscache.com/im/pictures/7f83fbbe-e895-4846-bf87-7a4638f773f1.jpg?im_w=720,Private room in Lichtenberg,"Sapa, Mini- Private Room in  Apartment",4.75,https://www.airbnb.com/rooms/26952394,night,$,40,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-40911656/original/17b5145c-99f0-4b38-b0e6-2e9d5cc30e9b.jpeg?im_w=720,Private room in Prenzlauer Berg,Sunny room in a cool berlin appartment w/ balcony,4.83,https://www.airbnb.com/rooms/40911656,night,$,64,airbnb
https://a0.muscache.com/im/pictures/a759d271-80e8-4cd7-97a9-b80d2256545d.jpg?im_w=720,Apartment in Neukölln,Sweet Home Karl Marx!,4.47,https://www.airbnb.com/rooms/8622788,night,$,114,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-230411/original/e04471fd-69ff-4567-b05b-d316b359cf74.jpeg?im_w=720,Private room in Kreuzberg,Wonderful Room in Hip Kreuzberg!!,5.0,https://www.airbnb.com/rooms/230411,night,$,77,airbnb
https://a0.muscache.com/im/pictures/04620324-6207-4311-9778-df1eb4927f8b.jpg?im_w=720,Apartment in Lichtenberg,Artfully designed separate home,4.96,https://www.airbnb.com/rooms/36214660,night,$,65,airbnb
https://a0.muscache.com/im/pictures/7139f8d7-65f3-45ed-91aa-d0129a87954d.jpg?im_w=720,Private room in Mitte,cozy room in stylish apartment,4.94,https://www.airbnb.com/rooms/44596704,night,$,92,airbnb
https://a0.muscache.com/im/pictures/0372af9c-1fc9-479f-9231-912f0fb81723.jpg?im_w=720,Apartment in Reinickendorf,Apartments in Hostel am Schäfersee _06,4.78,https://www.airbnb.com/rooms/22483099,night,$,63,airbnb
https://a0.muscache.com/im/pictures/e254d214-ffdd-4022-aad5-a8fcc3466f94.jpg?im_w=720,Private room in Neukölln,quiet single room 2.3 to the courtyard (2nd floor),4.25,https://www.airbnb.com/rooms/14829530,night,$,45,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-627309608055717027/original/3eca8899-418c-450b-9fac-84a66aa88fc6.jpeg?im_w=720,Apartment in Lichtenberg,"1-room apartment, 33 minutes directly to Alexanderplatz",,https://www.airbnb.com/rooms/627309608055717027,night,$,64,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-777910036659949560/original/5c250b9b-06a4-45aa-aad8-687a3a0fead2.jpeg?im_w=720,Shared room in Mitte,Bed 1 - Cosy room in Hauptbahnhof heart of Berlin,4.78,https://www.airbnb.com/rooms/777910036659949560,night,$,49,airbnb
https://a0.muscache.com/im/pictures/6784eb8d-b018-4141-b82f-b82f06da028f.jpg?im_w=720,Private room in Mitte,"20 qm room, kids are welcome!",4.8,https://www.airbnb.com/rooms/3920591,night,$,51,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-22676690/original/8feb034a-560c-4eaa-9c0e-86030b8f8684.jpeg?im_w=720,Private room in Neukölln,"Sunny room in Neukölln, on the river, solo woman",5.0,https://www.airbnb.com/rooms/22676690,night,$,57,airbnb
https://a0.muscache.com/im/pictures/922fbcef-baef-42ed-b651-287d5948a1a8.jpg?im_w=720,Private room in Reinickendorf,minimalistic but beautiful room,,https://www.airbnb.com/rooms/847799367651729277,night,$,33,airbnb
https://a0.muscache.com/im/pictures/0fd3ff4d-9296-4701-b24f-d2c78d82a60a.jpg?im_w=720,Private room in Pankow,Spacious and quiet room close to the city center!,4.94,https://www.airbnb.com/rooms/49228349,night,$,74,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-49070135/original/c55320d9-046e-43d2-9663-66baa94b48bb.jpeg?im_w=720,Apartment in Schöneberg,numa | Homely Room in wintery Schoeneberg,4.78,https://www.airbnb.com/rooms/49070135,night,$,135,airbnb
https://a0.muscache.com/im/pictures/07cb4f67-775b-48ca-99c3-1933a1d036b9.jpg?im_w=720,Hotel room in Charlottenburg,Serviced Apartment - Studio in City-West,4.96,https://www.airbnb.com/rooms/30919726,night,$,111,airbnb
