title,isAd,location,paymentOptions,highlightedAmenities,link,snippet_text,snippet_title,price_withTaxesAndCharges,price_currency,price_value,rating_score,rating_reviews,marketplace
Hotel Helle Mitte Berlin,False,Berlin,,,https://www.hotels.com/ho940027872/hotel-helle-mitte-berlin-neueiche-germany/,,,82,$,73,6.8,88.0,hotelscom
Hotel Amadeus Central,False,Berlin,Fully refundable,,https://www.hotels.com/ho450587/hotel-amadeus-central-berlin-germany/,,,77,$,69,6.0,76.0,hotelscom
Hotel Spree-idyll,False,Berlin,Fully refundable,,https://www.hotels.com/ho473577/hotel-spree-idyll-berlin-germany/,,,160,$,143,9.0,72.0,hotelscom
Alte Feuerwache,False,Berlin,,,https://www.hotels.com/ho1659530080/alte-feuerwache-berlin-germany/,,,133,$,79,,,hotelscom
Central-Hotel Tegel,False,Berlin,Fully refundable,Breakfast included,https://www.hotels.com/ho474025/central-hotel-tegel-berlin-germany/,,,108,$,96,6.8,379.0,hotelscom
Central Inn am Hauptbahnhof,False,Berlin,Fully refundable,,https://www.hotels.com/ho336126/central-inn-am-hauptbahnhof-berlin-germany/,,,126,$,113,6.2,444.0,hotelscom
Atrium Berlin,False,Wilmersdorf,,,https://www.hotels.com/ho334148/atrium-berlin-berlin-germany/,,,103,$,92,7.0,318.0,hotelscom
Hotel Petit am Wannsee,False,Berlin,Fully refundable,,https://www.hotels.com/ho2677630880/hotel-petit-am-wannsee-kleinmachnow-germany/,,,144,$,128,6.0,1.0,hotelscom
Hotel Kubrat an der Spree,False,Berlin,,,https://www.hotels.com/ho481089/hotel-kubrat-an-der-spree-berlin-germany/,,,129,$,115,7.4,32.0,hotelscom
Hotel Christophorus,False,Berlin,Fully refundable,,https://www.hotels.com/ho616521/hotel-christophorus-niederneuendorf-germany/,,,159,$,142,6.8,11.0,hotelscom
Familienhotel Citylight Berlin,False,Berlin,Fully refundable,,https://www.hotels.com/ho238187/familienhotel-citylight-berlin-berlin-germany/,,,156,$,140,8.4,991.0,hotelscom
Aparthotel Vega,False,Berlin,,,https://www.hotels.com/ho298119/aparthotel-vega-berlin-germany/,,,99,$,88,7.6,119.0,hotelscom
Hotel Seifert,False,Wilmersdorf,,,https://www.hotels.com/ho284885/hotel-seifert-berlin-germany/,,,133,$,119,8.0,180.0,hotelscom
St.-Michaels-Heim Hotel,False,Berlin,Fully refundable,,https://www.hotels.com/ho594836/st-michaels-heim-hotel-berlin-germany/,,,143,$,128,8.6,23.0,hotelscom
Hotel Bellevue am Kurfürstendamm,False,Wilmersdorf,Fully refundable,,https://www.hotels.com/ho228083/hotel-bellevue-am-kurfurstendamm-berlin-germany/,,,82,$,73,6.4,494.0,hotelscom
Dietrich-Bonhoeffer-Hotel,False,Mitte,,,https://www.hotels.com/ho284758/dietrich-bonhoeffer-hotel-berlin-germany/,,,206,$,184,8.8,125.0,hotelscom
Hotel Art Nouveau,False,Berlin,,,https://www.hotels.com/ho340231/hotel-art-nouveau-berlin-germany/,,,147,$,131,7.8,87.0,hotelscom
Mikon Eastgate Hotel,False,Mitte,Fully refundable,,https://www.hotels.com/ho303749/mikon-eastgate-hotel-berlin-germany/,,,86,$,77,7.2,226.0,hotelscom
Hotel Les Nations,False,Berlin,,,https://www.hotels.com/ho391532/hotel-les-nations-berlin-germany/,,,146,$,131,8.2,274.0,hotelscom
Hotel Transit Loft Berlin,False,Prenzlauer Berg,,Breakfast included,https://www.hotels.com/ho213062/hotel-transit-loft-berlin-berlin-germany/,,,121,$,108,7.8,187.0,hotelscom
Hotel Herbst Berlin,False,Berlin,,,https://www.hotels.com/ho59984704/hotel-herbst-berlin-berlin-germany/,,,152,$,136,6.6,4.0,hotelscom
Nena Apartments Herrmannplatz,False,Entire apartment,,,https://www.hotels.com/ho1730285344/nena-apartments-herrmannplatz-berlin-germany/,,,117,$,104,9.0,16.0,hotelscom
AMANO HOME Apartments,False,Mitte,Fully refundable,Kitchen,https://www.hotels.com/ho595114/amano-home-apartments-berlin-germany/,,,131,$,117,9.2,313.0,hotelscom
Nena Apartments Kreuzberg 61,False,Kreuzberg,,Kitchen,https://www.hotels.com/ho1715571840/nena-apartments-kreuzberg-61-berlin-germany/,,,116,$,103,8.6,28.0,hotelscom
numa I Drift Rooms & Apartments,False,Berlin,,,https://www.hotels.com/ho1039945888/numa-drift-rooms-apartments-berlin-germany/,,,148,$,132,8.2,61.0,hotelscom
